Name,ID,Size,meanAbsT0,padog0,PmeanAbsT,rank,Ppadog
Example Named Pathway_1,100,1553,3.63109388257983,26.2803510365367,0.564516129032258,1,0.000144927536231884
Example Named Pathway_2,101,476,-0.144014002974607,9.07315296880447,0.403225806451613,2,0.000144927536231884
Example Named Pathway_3,102,152,0.444687188187879,7.90686985261375,0.532258064516129,3,0.000144927536231884
Example Named Pathway_4,103,169,-1.39219614659238,7.57924904772301,0.032258064516129,4,0.000144927536231884
Example Named Pathway_5,104,133,-1.78132458856429,6.68070559237963,0.032258064516129,5,0.000144927536231884
Example Named Pathway_6,105,232,-1.89242096158081,6.53314420139408,0.274193548387097,6,0.000144927536231884
Example Named Pathway_7,106,156,0.649114454654391,6.30124113007983,0.5,7,0.000144927536231884
Example Named Pathway_8,107,368,1.92216694730017,6.07709810427368,0.532258064516129,8,0.000144927536231884
Example Named Pathway_9,108,170,0.423920696600577,6.06271567702442,0.564516129032258,9,0.000144927536231884
Example Named Pathway_10,109,128,1.45946484749264,5.86502087548574,0.983870967741935,10,0.000144927536231884
Example Named Pathway_11,110,86,1.6253170002041,5.51356006001148,0.951612903225806,11,0.000144927536231884
Example Named Pathway_12,111,102,-0.833542334609171,5.37706103023037,0.032258064516129,12,0.000144927536231884
Example Named Pathway_13,112,78,0.806508109109309,5.21966100333713,0.967741935483871,13,0.000144927536231884
Example Named Pathway_14,113,156,-0.370924154081421,5.18277306760225,0.306451612903226,14,0.000144927536231884
Example Named Pathway_15,114,157,-0.31080427316835,5.05583854106774,0.306451612903226,15,0.000144927536231884
Example Named Pathway_16,115,172,0.92604824052324,5.05102922660967,0.532258064516129,16,0.000144927536231884
Example Named Pathway_17,116,530,-1.0691108912572,4.94769480207298,0.274193548387097,17,0.000144927536231884
Example Named Pathway_18,117,166,-1.1141677862361,4.94400470949282,0.306451612903226,18,0.000144927536231884
Example Named Pathway_19,118,149,-1.28044281761805,4.56236902299483,0.000144927536231884,19,0.000144927536231884
Example Named Pathway_20,119,253,0.946480559975801,4.39252883487524,0.5,20,0.000144927536231884
Example Named Pathway_21,120,300,-1.11386468335516,4.20128233760662,0.241935483870968,21,0.000144927536231884
Example Named Pathway_22,121,247,-2.68640096818049,3.71423506618458,0.000144927536231884,22,0.000144927536231884
Example Named Pathway_23,122,163,0.0552813475351674,3.65923496169124,0.370967741935484,23,0.000144927536231884
Example Named Pathway_24,123,42,-0.904820532845473,3.61483080718172,0.000144927536231884,24,0.000144927536231884
Example Named Pathway_25,124,156,-1.11216392031314,3.52770341092389,0.274193548387097,25,0.000144927536231884
Example Named Pathway_26,125,183,-1.28186982577475,3.44423859883917,0.241935483870968,26,0.000144927536231884
Example Named Pathway_27,126,202,-1.2750941192385,3.38239730103973,0.306451612903226,27,0.000144927536231884
Example Named Pathway_28,127,332,-2.36491865542374,3.36427675187143,0.241935483870968,28,0.000144927536231884
Example Named Pathway_29,128,38,-1.16559734822803,3.11487392974401,0.000144927536231884,29,0.000144927536231884
Example Named Pathway_30,129,185,0.674867847301332,3.03603680065402,0.564516129032258,30,0.000144927536231884
Example Named Pathway_31,130,201,-0.307659591663797,2.85603560729474,0.338709677419355,31,0.000144927536231884
Example Named Pathway_32,131,237,-0.547860613838032,2.78321794763843,0.306451612903226,32,0.000144927536231884
Example Named Pathway_33,132,202,-1.45368344675005,2.5910717991223,0.274193548387097,33,0.000144927536231884
Example Named Pathway_34,133,34,-1.00670963504684,2.54741749493099,0.000144927536231884,34,0.000144927536231884
Example Named Pathway_35,134,43,-0.211723653401098,2.44765808886311,0.419354838709677,35,0.000144927536231884
Example Named Pathway_36,135,181,-0.903191328153027,2.43724054951083,0.274193548387097,36,0.000144927536231884
Example Named Pathway_37,136,90,-0.0391613439670626,2.41375264764564,0.483870967741935,37,0.000144927536231884
Example Named Pathway_38,137,144,-0.607555062008054,2.39718878961766,0.290322580645161,38,0.000144927536231884
Example Named Pathway_39,138,141,-0.787283414968499,2.13415689288508,0.000144927536231884,39,0.000144927536231884
Example Named Pathway_40,139,212,-0.426186799059525,1.98482897395281,0.274193548387097,40,0.000144927536231884
Example Named Pathway_41,140,103,-2.80863464290555,1.92415920857704,0.000144927536231884,41,0.000144927536231884
Example Named Pathway_42,141,165,0.509776318292501,1.84803961333301,0.564516129032258,42,0.000144927536231884
Example Named Pathway_43,142,134,-0.0727781195352646,1.62148953613763,0.338709677419355,43,0.000144927536231884
Example Named Pathway_44,143,149,-0.343784562141339,1.57213078621163,0.338709677419355,44,0.000144927536231884
Example Named Pathway_45,144,26,-0.899287169463572,1.49531159642832,0.451612903225806,45,0.000144927536231884
Example Named Pathway_46,145,201,-1.7101874365806,1.40607521104342,0.000144927536231884,46,0.000144927536231884
Example Named Pathway_47,146,154,0.0397577817997222,1.3494922895127,0.370967741935484,47,0.000144927536231884
Example Named Pathway_48,147,51,0.216221634020988,1.30652453366686,0.709677419354839,48,0.000144927536231884
Example Named Pathway_49,148,28,-0.559606101180308,1.2223617244071,0.419354838709677,49,0.000144927536231884
Example Named Pathway_50,149,34,-1.05349598157745,1.19822879829997,0.419354838709677,50,0.000144927536231884
Example Named Pathway_51,150,107,-1.00123123610054,1.14917642091323,0.000144927536231884,51,0.000144927536231884
Example Named Pathway_52,151,88,-0.812019666582145,0.888682478104482,0.000144927536231884,52,0.000144927536231884
Example Named Pathway_53,152,211,-1.74036904972093,0.534617351586334,0.032258064516129,53,0.000144927536231884
Example Named Pathway_54,153,214,-0.934256604900208,0.467229252864604,0.241935483870968,54,0.000144927536231884
Example Named Pathway_55,154,90,-0.810652448138661,0.452203381670411,0.000144927536231884,55,0.000144927536231884
Example Named Pathway_56,155,109,-0.415400382526193,0.383854366338154,0.000144927536231884,56,0.000144927536231884
Example Named Pathway_57,156,51,-0.687197229371672,0.334277389874045,0.000144927536231884,57,0.000144927536231884
Example Named Pathway_58,157,102,-0.641840727577287,0.32956838000443,0.000144927536231884,58,0.000144927536231884
Example Named Pathway_59,158,225,0.0183653968708473,0.0677437217179895,0.370967741935484,59,0.000144927536231884
Example Named Pathway_60,159,93,-0.284932468128627,-0.0797462118080125,0.032258064516129,60,0.000144927536231884
Example Named Pathway_61,160,126,-1.06124231533809,-0.179886843673351,0.032258064516129,61,0.000144927536231884
Example Named Pathway_62,161,102,-2.02273354823569,-0.300525727515783,0.0483870967741935,62,0.000144927536231884
Example Named Pathway_63,162,97,-0.775211421089237,-0.452340960503839,0.000144927536231884,63,0.000144927536231884
Example Named Pathway_64,163,138,-2.49048718184044,-0.489167825375933,0.000144927536231884,64,0.000144927536231884
Example Named Pathway_65,164,86,-0.607360592696192,-0.758801603670883,0.000144927536231884,65,0.000144927536231884
Example Named Pathway_66,165,76,-1.10281840640012,-0.916055011807684,0.000144927536231884,66,0.000144927536231884
Example Named Pathway_67,166,195,-2.02216692311611,-1.1048248062627,0.032258064516129,67,0.000144927536231884
Example Named Pathway_68,167,88,-1.47442259381832,-1.15185348801857,0.000144927536231884,68,0.000144927536231884
Example Named Pathway_69,168,41,-2.07261241185891,-1.3225843876293,0.000144927536231884,69,0.000144927536231884
Example Named Pathway_70,169,85,-1.29457846816737,-1.46370995064692,0.032258064516129,70,0.000144927536231884
Example Named Pathway_71,170,68,-0.900569857159034,-1.62173791250227,0.000144927536231884,71,0.000144927536231884
Example Named Pathway_72,171,101,-1.53938055516056,-1.67965929094992,0.000144927536231884,72,0.000144927536231884
Example Named Pathway_73,172,130,-2.30069830929939,-2.86175299524076,0.032258064516129,73,0.000144927536231884
Example Named Pathway_74,173,67,-2.93574064123794,-3.12632868459855,0.000144927536231884,74,0.000144927536231884
Example Named Pathway_75,174,250,-2.00806806191235,8.20053409974448,0.290322580645161,75,0.0161290322580645
Example Named Pathway_76,175,142,-1.09058781309823,7.73385089570434,0.0161290322580645,76,0.0161290322580645
Example Named Pathway_77,176,131,-1.32410811421026,7.72348688577281,0.0161290322580645,77,0.0161290322580645
Example Named Pathway_78,177,193,-1.09345233623246,6.41661013996979,0.32258064516129,78,0.0161290322580645
Example Named Pathway_79,178,296,1.51173332013961,6.33234237810453,0.516129032258065,79,0.0161290322580645
Example Named Pathway_80,179,195,0.385789563379302,6.23118461044037,0.548387096774194,80,0.0161290322580645
Example Named Pathway_81,180,154,1.20246679898251,6.142642166172,0.967741935483871,81,0.0161290322580645
Example Named Pathway_82,181,108,-2.43557242319745,5.63114620770726,0.0161290322580645,82,0.0161290322580645
